instance_type,vcpu,memory_mib,price_per_hour,max_pods
a1.2xlarge,8,16384,0.2040000000,58
a1.4xlarge,16,32768,0.4080000000,234
a1.large,2,4096,0.0510000000,29
a1.medium,1,2048,0.0255000000,8
a1.metal,16,32768,0.4080000000,234
a1.xlarge,4,8192,0.1020000000,58
c1.medium,2,1740,0.1300000000,12
c1.xlarge,8,7168,0.5200000000,58
c3.2xlarge,8,15360,0.4200000000,58
c3.4xlarge,16,30720,0.8400000000,234
c3.8xlarge,32,61440,1.6800000000,234
c3.large,2,3840,0.1050000000,29
c3.xlarge,4,7680,0.2100000000,58
c4.2xlarge,8,15360,0.3980000000,58
c4.4xlarge,16,30720,0.7960000000,234
c4.8xlarge,36,61440,1.5910000000,234
c4.large,2,3840,0.1000000000,29
c4.xlarge,4,7680,0.1990000000,58
c5.12xlarge,48,98304,2.0400000000,234
c5.18xlarge,72,147456,3.0600000000,737
c5.24xlarge,96,196608,4.0800000000,737
c5.2xlarge,8,16384,0.3400000000,58
c5.4xlarge,16,32768,0.6800000000,234
c5.9xlarge,36,73728,1.5300000000,234
c5.large,2,4096,0.0850000000,29
c5.metal,96,196608,4.0800000000,737
c5.xlarge,4,8192,0.1700000000,58
c5a.12xlarge,48,98304,1.8480000000,234
c5a.16xlarge,64,131072,2.4640000000,737
c5a.24xlarge,96,196608,3.6960000000,737
c5a.2xlarge,8,16384,0.3080000000,58
c5a.4xlarge,16,32768,0.6160000000,234
c5a.8xlarge,32,65536,1.2320000000,234
c5a.large,2,4096,0.0770000000,29
c5a.xlarge,4,8192,0.1540000000,58
c5ad.12xlarge,48,98304,2.0640000000,234
c5ad.16xlarge,64,131072,2.7520000000,737
c5ad.24xlarge,96,196608,4.1280000000,737
c5ad.2xlarge,8,16384,0.3440000000,58
c5ad.4xlarge,16,32768,0.6880000000,234
c5ad.8xlarge,32,65536,1.3760000000,234
c5ad.large,2,4096,0.0860000000,29
c5ad.xlarge,4,8192,0.1720000000,58
c5d.12xlarge,48,98304,2.3040000000,234
c5d.18xlarge,72,147456,3.4560000000,737
c5d.24xlarge,96,196608,4.6080000000,737
c5d.2xlarge,8,16384,0.3840000000,58
c5d.4xlarge,16,32768,0.7680000000,234
c5d.9xlarge,36,73728,1.7280000000,234
c5d.large,2,4096,0.0960000000,29
c5d.metal,96,196608,4.6080000000,737
c5d.xlarge,4,8192,0.1920000000,58
c5n.18xlarge,72,196608,3.8880000000,737
c5n.2xlarge,8,21504,0.4320000000,58
c5n.4xlarge,16,43008,0.8640000000,234
c5n.9xlarge,36,98304,1.9440000000,234
c5n.large,2,5376,0.1080000000,29
c5n.metal,72,196608,3.8880000000,737
c5n.xlarge,4,10752,0.2160000000,58
c6a.12xlarge,48,98304,1.8360000000,234
c6a.16xlarge,64,131072,2.4480000000,737
c6a.24xlarge,96,196608,3.6720000000,737
c6a.2xlarge,8,16384,0.3060000000,58
c6a.32xlarge,128,262144,4.8960000000,737
c6a.48xlarge,192,393216,7.3440000000,737
c6a.4xlarge,16,32768,0.6120000000,234
c6a.8xlarge,32,65536,1.2240000000,234
c6a.large,2,4096,0.0765000000,29
c6a.metal,192,393216,7.3440000000,737
c6a.xlarge,4,8192,0.1530000000,58
c6g.12xlarge,48,98304,1.6320000000,234
c6g.16xlarge,64,131072,2.1760000000,737
c6g.2xlarge,8,16384,0.2720000000,58
c6g.4xlarge,16,32768,0.5440000000,234
c6g.8xlarge,32,65536,1.0880000000,234
c6g.large,2,4096,0.0680000000,29
c6g.medium,1,2048,0.0340000000,8
c6g.metal,64,131072,2.1760000000,737
c6g.xlarge,4,8192,0.1360000000,58
c6gd.12xlarge,48,98304,1.8432000000,234
c6gd.16xlarge,64,131072,2.4576000000,737
c6gd.2xlarge,8,16384,0.3072000000,58
c6gd.4xlarge,16,32768,0.6144000000,234
c6gd.8xlarge,32,65536,1.2288000000,234
c6gd.large,2,4096,0.0768000000,29
c6gd.medium,1,2048,0.0384000000,8
c6gd.metal,64,131072,2.4576000000,737
c6gd.xlarge,4,8192,0.1536000000,58
c6gn.12xlarge,48,98304,2.0736000000,234
c6gn.16xlarge,64,131072,2.7648000000,737
c6gn.2xlarge,8,16384,0.3456000000,58
c6gn.4xlarge,16,32768,0.6912000000,234
c6gn.8xlarge,32,65536,1.3824000000,234
c6gn.large,2,4096,0.0864000000,29
c6gn.medium,1,2048,0.0432000000,8
c6gn.xlarge,4,8192,0.1728000000,58
c6i.12xlarge,48,98304,2.0400000000,234
c6i.16xlarge,64,131072,2.7200000000,737
c6i.24xlarge,96,196608,4.0800000000,737
c6i.2xlarge,8,16384,0.3400000000,58
c6i.32xlarge,128,262144,5.4400000000,737
c6i.4xlarge,16,32768,0.6800000000,234
c6i.8xlarge,32,65536,1.3600000000,234
c6i.large,2,4096,0.0850000000,29
c6i.metal,128,262144,5.4400000000,737
c6i.xlarge,4,8192,0.1700000000,58
c6id.12xlarge,48,98304,2.4192000000,234
c6id.16xlarge,64,131072,3.2256000000,737
c6id.24xlarge,96,196608,4.8384000000,737
c6id.2xlarge,8,16384,0.4032000000,58
c6id.32xlarge,128,262144,6.4512000000,737
c6id.4xlarge,16,32768,0.8064000000,234
c6id.8xlarge,32,65536,1.6128000000,234
c6id.large,2,4096,0.1008000000,29
c6id.metal,128,262144,6.4512000000,737
c6id.xlarge,4,8192,0.2016000000,58
c6in.12xlarge,48,98304,2.7216000000,234
c6in.16xlarge,64,131072,3.6288000000,737
c6in.24xlarge,96,196608,5.4432000000,737
c6in.2xlarge,8,16384,0.4536000000,58
c6in.32xlarge,128,262144,7.2576000000,786
c6in.4xlarge,16,32768,0.9072000000,234
c6in.8xlarge,32,65536,1.8144000000,234
c6in.large,2,4096,0.1134000000,29
c6in.metal,128,262144,7.2576000000,786
c6in.xlarge,4,8192,0.2268000000,58
c7a.12xlarge,48,98304,2.4633600000,234
c7a.16xlarge,64,131072,3.2844800000,737
c7a.24xlarge,96,196608,4.9267200000,737
c7a.2xlarge,8,16384,0.4105600000,58
c7a.32xlarge,128,262144,6.5689600000,737
c7a.48xlarge,192,393216,9.8534400000,737
c7a.4xlarge,16,32768,0.8211200000,234
c7a.8xlarge,32,65536,1.6422400000,234
c7a.large,2,4096,0.1026400000,29
c7a.medium,1,2048,0.0513200000,8
c7a.metal-48xl,192,393216,9.8534400000,737
c7a.xlarge,4,8192,0.2052800000,58
c7g.12xlarge,48,98304,1.7400000000,234
c7g.16xlarge,64,131072,2.3200000000,737
c7g.2xlarge,8,16384,0.2900000000,58
c7g.4xlarge,16,32768,0.5800000000,234
c7g.8xlarge,32,65536,1.1600000000,234
c7g.large,2,4096,0.0725000000,29
c7g.medium,1,2048,0.0363000000,8
c7g.metal,64,131072,2.3200000000,737
c7g.xlarge,4,8192,0.1450000000,58
c7gd.12xlarge,48,98304,2.1773000000,234
c7gd.16xlarge,64,131072,2.9030000000,737
c7gd.2xlarge,8,16384,0.3629000000,58
c7gd.4xlarge,16,32768,0.7258000000,234
